Actor,Number of shows
João Miguel,1
Bianca Comparato,2
Michel Gomes,1
Rodolfo Valente,1
Vaneza Oliveira,1
Rafael Lozano,1
Viviane Porto,1
Mel Fronckowiak,1
Sergio Mamberti,1
Zezé Motta,1
Celso Frateschi,1
Demián Bichir,6
Héctor Bonilla,1
Oscar Serrano,1
Azalia Ortiz,1
Octavio Michel,1
Carmen Beato,3
Tedd Chan,1
Stella Chung,1
Henley Hii,7
Lawrence Koh,1
Tommy Kuan,1
Josh Lai,1
Mark Lee,2
Susan Leong,2
Benjamin Lim,1
Elijah Wood,5
John C. Reilly,11
Jennifer Connelly,1
Christopher Plummer,9
Crispin Glover,6
Martin Landau,4
Fred Tatasciore,19
Alan Oppenheimer,1
Tom Kane,3
Jim Sturgess,6
Kevin Spacey,7
Kate Bosworth,5
Aaron Yoo,3
Liza Lapira,3
Jacob Pitts,1
Laurence Fishburne,14
Jack McGee,2
Josh Gad,4
Sam Golzari,1
Helen Carey,2
Jack Gilpin,1
Erdal Beşikçioğlu,2
Yasemin Allen,1
Melis Birkan,3
Saygın Soysal,2
Berkan Şal,2
Metin Belgin,1
Ayça Eren,2
Selin Uludoğan,1
Özay Fecht,1
Suna Yıldızoğlu,1
Amina Khalil,4
Ahmed Dawood,5
Tarek Lotfy,1
Ahmed El Fishawy,1
Mahmoud Hijazi,1
Jihane Khalil,1
Asmaa Galal,1
Tara Emad,3
Samuel L. Jackson,20
John Heard,4
Kelly Rowan,1
Clifton Collins Jr.,5
Tony Plana,3
Divya Dutta,11
Atul Kulkarni,10
Mohan Agashe,6
Anupam Shyam,2
Raayo S. Bakhirta,2
Yashvit Sancheti,1
Greeva Kansara,1
Archan Trivedi,1
Rajiv Pathak,1
Rajneesh Duggal,3
Adah Sharma,3
Indraneil Sengupta,6
Anjori Alagh,1
Rajendranath Zutshi,8
Vipin Sharma,13
Amin Hajee,3
Shri Vallabh Vyas,2
Thomas Jane,6
Molly Parker,6
Dylan Schmid,1
Kaitlyn Bernard,2
Bob Frazer,2
Brian d'Arcy James,5
Neal McDonough,4
Robert Więckiewicz,3
Maciej Musiał,1
Michalina Olszańska,1
Andrzej Chyra,1
Clive Russell,2
Zofia Wichłacz,2
Edyta Olszówka,1
Mateusz Kościukiewicz,1
Ewa Błaszczyk,1
