Director,Number of shows
Jorge Michel Grau,1
Gilbert Chan,1
Shane Acker,1
Robert Luketic,4
Serdar Akar,1
Yasir Al Yasiri,1
Kevin Reynolds,1
Shravan Kumar,1
Vikram Bhatt,1
Zak Hilditch,2
Diego Enrique Osorno,1
Nottapon Boonprakob,1
John Suits,1
Kunle Afolayan,8
Paul Greengrass,1
Swapnaneel Jayakar,1
Onir,3
Vijay Milton,1
Santwana Bardoloi,1
Atanu Ghosh,2
Lyric R. Cabral,1
David Felix Sutcliffe,1
Cho Il,1
Sabina Fedeli,1
Anna Migotto,1
Michael Margolis,1
Rako Prijanto,3
Fernando Lebrija,1
Michael Kennedy,1
Robert McCullough Jr.,1
Cristina Jacob,4
Frank Ariza,1
Muharrem Gülmez,2
Óskar Thór Axelsson,1
Ozan Açıktan,7
Kenneth Gyang,1
Karyn Kusama,3
Adam Deyoe,1
Leif Tilden,1
Adze Ugah,2
Nicolas Brossette,1
Roland Emmerich,1
Marcel Barrena,1
Melinda Janko,1
Jastis Arimba,1
Shrihari Sathe,1
Sam Upton,1
Victor Zarcoff,1
Daniel Stamm,2
Ava DuVernay,3
Daniel Lee,1
Scott Hussion,1
Seth Fuller,1
Adam Davis,1
Jerry Kolber,1
Trey Nelson,1
Erich Sturm,1
Richard Donner,1
Burr Steers,1
Francesco Amato,1
Salvador Calvo,2
David Marmor,1
Raymond Wood,1
Ramzy Bedia,1
Éric Judor,1
Abhishek Varman,1
Morgan Neville,3
Hasraf Dulull,1
Mike Mills,1
Jon Lucas,2
Scott Moore,2
Joey Curtis,1
Brian Smrz,1
Simranjit Singh Hundal,1
Geun-hyun Cho,1
Nicanor Loreti,1
Simon Napier-Bell,1
Betty Thomas,1
McG,7
Nagesh Kukunoor,5
Gaby Dellal,1
Iman Brotoseno,1
Rajkumar Hirani,3
Shazia Javed,1
Sinan Akkuş,1
Hani Hamdi,2
Ruben Fleischer,2
Maciej Dejczer,1
Barbara Białowąs,1
Tomasz Mandes,1
Hikari,1
Victor Gatonye,1
Jack C. Newell,2
Marco Deufemia,1
Justin G. Dyck,8
Gerardo Olivares,3
Andrew Nackman,1
Ishaya Bako,3
Anggy Umbara,2
Richard Loncraine,1
Marco Risi,1
Victor Levin,1
Peter Segal,3
Jonathan Levine,2
Rizal Mantovani,2
Matei Dima,1
Marja Lewis Ryan,1
Toa Fraser,2
Michael Bay,3
Hannah Fidell,2
Bharat Jain,1
Trent Haaga,1
Nizar Shafi,1
Roger Gual,1
Meenu Gaur,1
Farjad Nabi,1
Vishal Bhardwaj,5
Anita Udeep,1
Steve Gukas,1
Clay Glen,3
Everardo González,2
Rachel Talalay,1
Andrew Lau Wai-Keung,4
Padmakumar Narasimhamurthy,2
John Asher,3
Richard Attenborough,1
Shaun Paul Piccinino,4
David de Vos,1
Umut Kirca,1
Kevin Ko,1
Peter Tsi,1
Alex Zamm,2
John Schultz,3
Thomas Astruc,2
Mark Rosman,1
Michelle Johnston,1
Stanley Kubrick,2
Stephen Gyllenhaal,1
Savage Steve Holland,4
Tyler Perry,2
Tom Fassaert,1
Mark Williams,1
Robbie Countryman,1
Remo D'Souza,3
Bille August,1
David Wain,1
David Lowery,1
Roman Coppola,1
Stanley Moore,4
Alex Woo,4
Richard Mears,1
Erik Nelson,1
Michael Tiddes,3
Teo Konuralp,1
Thomas Stuber,1
Jim Fall,1
Herman Yau,2
Coodie,1
Chike,1
Andy Goddard,1
Yeo Siew Hua,1
Chris Bell,2
Francisco Macri,1
Steven Bognar,2
Julia Reichert,2
Alan Rickman,1
Sophia Nahli Allison,1
Maryo J. De los Reyes,2
Thomas Sorriaux,1
Ahmad El-Badri,4
J.A. Bayona,2
J.C. Chandor,2
