,Genre,Number of TV Shows
0,International TV Shows,1199
1,TV Dramas,704
2,TV Sci-Fi & Fantasy,76
3,TV Mysteries,90
4,Crime TV Shows,427
5,Docuseries,353
6,Anime Series,148
7,Reality TV,222
8,TV Comedies,525
9,Romantic TV Shows,333
10,Science & Nature TV,85
11,British TV Shows,232
12,Korean TV Shows,150
13,Kids' TV,414
14,TV Action & Adventure,150
15,Spanish-Language TV Shows,147
16,TV Shows,12
17,TV Horror,69
18,Stand-Up Comedy & Talk Shows,52
19,Teen TV Shows,60
20,TV Thrillers,50
21,Classic & Cult TV,27
